,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,cluster,States
41,0.75,0.5,0.3435,0.29723502304147464,0.011114041818530597,0.3215259859933653,0.307142775498074,0.3632,0.7411,0.5066,2,AL
42,0.5,0.0,0.7167,0.4400921658986175,0.007301457893727221,0.18168079616660524,0.20775658097774527,0.46545000000000003,0.0,0.5602,0,AL
43,0.5,1.0,0.7167,0.4400921658986175,0.0006114521388835603,0.3215259859933653,0.23798964417570612,0.46545000000000003,0.8678,0.6446,1,AL
44,0.25,0.0,0.7167,0.4400921658986175,0.002481776328409745,0.17851087357169185,0.20775658097774527,0.46545000000000003,0.0,0.701,0,AL
45,0.5,0.0,0.7167,0.4400921658986175,0.02015993669671974,0.18709915223000367,0.20775658097774527,0.46545000000000003,0.0,0.6352,0,AL
46,0.75,0.5,0.7697,0.5610599078341014,0.017953913293688856,0.3215259859933653,0.27444077405786005,0.692,0.3653,0.1494,2,AL
47,0.75,0.5,0.7167,0.4400921658986175,0.0026795990792250145,0.3215259859933653,0.09537416987666739,0.2133,0.7679,0.75,2,AL
48,0.5,0.0,0.7167,0.4400921658986175,0.02912790140034529,0.31396977515665314,0.20775658097774527,0.46545000000000003,0.0,0.5217,0,AL
49,0.5,0.0,0.7167,0.4400921658986175,0.012954392863993861,0.14061924069295983,0.20775658097774527,0.46545000000000003,0.2344,0.5743,0,AL
50,0.75,0.0,0.8604,0.45852534562211983,0.0662286591214272,0.47762624401032067,0.20775658097774527,0.3342,0.5549,0.3743,3,AL
51,0.75,0.5,0.4627,0.5,0.007607183963169,0.3215259859933653,0.21113994079120327,0.5632,0.6564,0.3328,2,AL
52,0.75,0.5,0.9615,0.35023041474654376,0.0009591406100134279,0.3215259859933653,0.14711900053722268,0.1935,0.7877,0.6089,2,AL
53,0.75,0.5,0.43,0.2488479262672811,0.005173364665259927,0.3215259859933653,0.19877238904065747,0.2619,0.8145,0.7429,2,AL
54,0.75,0.5,0.7167,0.4400921658986175,0.005359198158450029,0.3215259859933653,0.102632391098106,0.824,0.928,0.9663,2,AL
55,0.25,0.0,0.7167,0.4400921658986175,0.007565221561480913,0.2210836712126797,0.20775658097774527,0.46545000000000003,0.0,0.6097,0,AL
56,0.75,0.0,0.6821,0.37327188940092165,0.09716094379436026,0.40910431256911167,0.20775658097774527,0.3466,0.6414,0.4758,3,AL
57,0.75,0.5,0.3511,0.3122119815668203,0.015490120851716862,0.3215259859933653,0.3294889526443929,0.4384,0.7374,0.6453,2,AL
58,0.75,0.5,0.7167,0.4400921658986175,0.00047957030500671397,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.6068,0.4701,2,AL
59,0.5,0.0,0.7167,0.4400921658986175,0.019254747746019568,0.30350165868042756,0.20775658097774527,0.46545000000000003,0.0,0.5844,0,AL
60,0.75,0.0,0.7167,0.4400921658986175,0.07862555150585075,0.29823074087725765,0.20775658097774527,0.2547,0.286,0.2473,3,AK
61,0.25,0.5,0.7167,0.4400921658986175,0.00015586034912718204,0.3215259859933653,0.10869043400733823,0.46545000000000003,0.2,0.2182,0,AK
62,0.75,0.0,0.7167,0.4400921658986175,0.034343228467293305,0.34290453372650204,0.20775658097774527,0.309,0.2676,0.2349,3,AK
63,0.75,0.0,0.7167,0.4400921658986175,0.00892000767312488,0.34622189458164393,0.20775658097774527,0.1389,0.209,0.1834,0,AK
64,0.75,0.5,0.3745,0.39400921658986177,0.0020381737962785343,0.3215259859933653,0.3521437470709934,0.3902,0.4587,0.2791,2,AK
65,0.25,0.0,0.4888,0.4400921658986175,0.008074765010550546,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.1447,0.1163,0,AK
66,0.25,1.0,0.7167,0.4400921658986175,0.013134231728371379,0.3215259859933653,0.20126418782219072,0.3534,0.4152,0.6598,4,AK
67,0.5,0.0,0.7167,0.4400921658986175,0.000803280260886246,0.32089937338739405,0.20775658097774527,0.46545000000000003,0.2015,0.2092,0,AK
68,0.25,1.0,0.7167,0.4400921658986175,0.0020082006522156148,0.3215259859933653,0.16101820841953662,0.46545000000000003,0.7894,0.6181,1,AK
69,0.5,1.0,0.7167,0.4400921658986175,0.016551170151544215,0.3215259859933653,0.2290968943957388,0.3175,0.7408,0.8264,1,AZ
70,0.75,1.0,0.7167,0.4400921658986175,0.0015226357183963169,0.3215259859933653,0.20775658097774527,0.3773,0.9203,0.7475,1,AZ
71,0.25,1.0,0.7167,0.4400921658986175,0.0002577690389411088,0.3215259859933653,0.1399636517425446,0.46545000000000003,0.6598,0.6598,1,AZ
72,0.25,1.0,0.7167,0.4400921658986175,0.001049060042202187,0.3215259859933653,0.1551887709031056,0.46545000000000003,0.7386,0.7843,1,AZ
73,0.25,0.5,0.7167,0.4400921658986175,1.198925762516785e-05,0.3215259859933653,0.20775658097774527,0.46545000000000003,0.0,0.0,0,AZ
74,0.75,0.5,0.7167,0.4400921658986175,0.0004615864185689622,0.3215259859933653,0.14284407969183993,0.5,0.6986,0.7945,2,AZ
75,0.25,1.0,0.7167,0.4400921658986175,0.001666506809898331,0.3215259859933653,0.2164435859041915,0.46545000000000003,0.7451,0.4933,1,AZ
76,0.25,1.0,1.0,0.4400921658986175,0.004052369077306733,0.3215259859933653,0.2333832455107616,0.6443,0.6062,0.7255,1,AZ
77,0.25,1.0,1.0,0.4400921658986175,0.004142288509495492,0.3215259859933653,0.25244893527038303,0.46545000000000003,0.5289,0.7296,4,AZ
78,0.25,1.0,1.0,0.4400921658986175,0.002637636677536927,0.3215259859933653,0.24170448180872586,0.46545000000000003,0.5356,0.6507,4,AZ
79,0.5,0.5,0.7167,0.4400921658986175,0.0012528774218300402,0.3215259859933653,0.23768102689542447,0.4667,0.9569,0.8431,1,AZ
80,0.25,1.0,0.7167,0.4400921658986175,0.00028174755419144447,0.3215259859933653,0.1469361162229817,0.46545000000000003,0.475,0.575,4,AZ
81,0.25,1.0,0.7167,0.4400921658986175,0.003027287550354882,0.3215259859933653,0.32371666647616215,0.46545000000000003,0.7971,0.7742,1,AZ
82,0.25,1.0,0.7167,0.4400921658986175,0.00496355265681949,0.3215259859933653,0.2912775612376696,0.4664,0.6346,0.6609,1,AZ
83,0.75,0.0,0.7626,0.5092165898617511,0.23067331670822944,0.42060449686693696,0.20775658097774527,0.5947,0.4784,0.3376,3,AZ
84,0.25,0.0,0.7167,0.4400921658986175,0.04461202762324957,0.33269443420567635,0.20775658097774527,0.46545000000000003,0.0554,0.5803,0,AZ
85,0.75,0.0,0.7692,0.5069124423963134,0.18822535008632266,0.49937338739402876,0.20775658097774527,0.6139,0.3962,0.3265,3,AZ
86,0.75,1.0,0.7167,0.4400921658986175,0.0012948398235181277,0.3215259859933653,0.5282499114154103,0.8333,0.6777,0.5308,2,AZ
87,0.25,1.0,0.7167,0.4400921658986175,0.001354786111643967,0.3215259859933653,0.15490301416210409,0.46545000000000003,0.633,0.5724,4,AZ
88,0.5,0.0,0.7167,0.4400921658986175,0.0327426625743334,0.1563214154072982,0.20775658097774527,0.46545000000000003,0.1783,0.4644,0,AZ
89,0.5,1.0,0.7167,0.4400921658986175,0.004100326107807405,0.3215259859933653,0.22716517882656853,0.1622,0.7398,0.8355,1,AZ
90,0.25,1.0,0.7167,0.4400921658986175,0.0004975541914444657,0.3215259859933653,0.12271537485569285,0.46545000000000003,0.5828,0.6291,4,AZ
91,0.5,0.0,0.7167,0.4400921658986175,0.022701659313255323,0.18238112790269076,0.20775658097774527,0.46545000000000003,0.0706,0.308,0,AZ
92,0.25,1.0,0.7167,0.4400921658986175,0.000317715327066948,0.3215259859933653,0.14533587847337318,0.46545000000000003,0.6947,0.7474,1,AZ
93,0.25,1.0,0.7167,0.4400921658986175,0.0006773930558219835,0.3215259859933653,0.14207825162595586,0.46545000000000003,0.6753,0.7113,1,AZ
94,0.25,1.0,0.7167,0.4400921658986175,0.0008572319201995012,0.3215259859933653,0.2223301747688228,0.46545000000000003,0.8816,0.7105,1,AZ
95,0.25,1.0,0.7167,0.4400921658986175,0.0016365336658354115,0.3215259859933653,0.13153954301781978,0.46545000000000003,0.7927,0.7927,1,AZ
96,0.25,0.0,0.7167,0.4400921658986175,0.028846153846153848,0.01713969775156653,0.20775658097774527,0.46545000000000003,0.0,0.1975,0,AZ
97,0.75,0.5,0.7814,0.5299539170506913,0.010802321120276232,0.3215259859933653,0.40448295175283183,0.5915,0.5596,0.2884,2,AZ
