,STABBR,PREDDEG,CONTROL,ADM_RATE_ALL,SAT_AVG_ALL,UGDS,NPT4_PUB,NPT4_PRIV,C150_4,PCTFLOAN,PCTPELL,labels
3665,TN,3,1,0.7668,1050.0,6554.0,6933.0,18259.0,0.4645,0.5605,0.4709,0
3666,TN,2,3,0.7167,1048.0,180.0,8792.0,25922.0,0.9032,0.4569,0.4569,4
3667,TN,1,3,0.7167,1048.0,173.0,8792.0,10813.0,0.46545000000000003,0.0552,0.2515,4
3668,TN,3,1,0.7167,1048.0,6669.0,9571.0,18259.0,0.2956,0.7748,0.6656,0
3669,TN,3,1,0.9316,1071.0,9827.0,11321.0,18259.0,0.5064,0.4547,0.3695,0
3670,TN,3,2,0.7843,878.0,704.0,8792.0,15003.0,0.1897,0.9395,0.7909,1
3671,TN,3,2,0.772,1049.0,1448.0,8792.0,16904.0,0.4664,0.713,0.4226,1
3672,TN,2,1,0.7167,1048.0,5052.0,6658.0,18259.0,0.46545000000000003,0.2299,0.518,3
3673,TN,3,2,0.7225,961.0,1844.0,8792.0,18222.0,0.3391,0.753,0.5874,1
3674,TN,3,2,0.7412,1174.0,2565.0,8792.0,21779.0,0.6364,0.5108,0.281,1
3675,TN,1,3,0.7167,1048.0,124.0,8792.0,8695.0,0.46545000000000003,0.0968,0.1129,4
3676,TN,3,2,0.1274,1475.0,6794.0,8792.0,17340.0,0.9252,0.1349,0.1429,1
3677,TN,1,3,0.7167,1048.0,59.0,8792.0,10114.0,0.46545000000000003,0.4472,0.5203,4
3678,TN,2,1,0.7167,1048.0,6415.0,9201.0,18259.0,0.46545000000000003,0.2042,0.3877,3
3679,TN,1,1,0.9974,1048.0,4789.0,4068.0,18259.0,0.46545000000000003,0.1316,0.427,3
3680,TN,1,3,0.7167,1048.0,212.0,8792.0,12577.0,0.46545000000000003,0.82,0.815,2
3681,TN,1,2,0.7167,1048.0,219.0,8792.0,11256.0,0.46545000000000003,0.0,0.3212,3
3682,TX,3,2,0.4894,1087.0,3647.0,8792.0,24106.0,0.5637,0.5601,0.2347,1
3683,TX,2,1,0.7167,1048.0,4227.0,7436.0,18259.0,0.46545000000000003,0.0728,0.1545,3
3684,TX,2,1,0.7167,1048.0,10009.0,5882.0,18259.0,0.46545000000000003,0.1657,0.4618,3
3685,TX,1,3,0.7167,1048.0,81.0,8792.0,31628.0,0.46545000000000003,0.8968,0.8581,2
3686,TX,1,3,0.7167,1048.0,23.0,8792.0,21046.0,0.46545000000000003,0.6812,0.6377,2
3687,TX,1,1,0.7167,1048.0,4203.0,5573.0,18259.0,0.46545000000000003,0.0,0.4335,3
3688,TX,3,1,0.8049,965.0,5430.0,12716.0,18259.0,0.2975,0.5526,0.4264,0
3689,TX,3,2,0.7167,1048.0,230.0,8792.0,13102.0,0.3333,0.8369,0.6395,1
3690,TX,1,3,0.7167,1048.0,235.0,8792.0,20234.0,0.46545000000000003,0.7212,0.632,2
3691,TX,3,3,0.7167,1048.0,2300.0,8792.0,26501.0,0.39,0.7812,0.5836,2
3692,TX,3,2,0.5861,1181.0,1206.0,8792.0,24019.0,0.7177,0.7665,0.2842,1
3693,TX,2,1,0.7167,1048.0,32715.0,9610.0,18259.0,0.46545000000000003,0.2822,0.2607,3
3694,TX,4,2,0.7167,1048.0,432.5,8792.0,18259.0,0.46545000000000003,0.5926,0.5165,1
3695,TX,1,3,0.7167,1048.0,76.0,8792.0,8213.0,0.46545000000000003,0.0,0.5752,4
3696,TX,2,3,0.7167,1048.0,444.0,8792.0,18259.0,0.46545000000000003,0.9333,0.5383,2
3697,TX,3,2,1.0,1048.0,55.0,8792.0,18259.0,1.0,0.2,0.6545,1
3698,TX,3,1,0.6947,1182.0,243.0,8792.0,18259.0,0.46545000000000003,0.5534,0.1748,0
3700,TX,3,2,0.5747,1215.0,13221.0,8792.0,32333.0,0.7472,0.4916,0.22,1
3701,TX,1,1,0.7167,1048.0,2284.0,6121.0,18259.0,0.46545000000000003,0.1471,0.3546,3
3702,TX,2,1,0.7167,1048.0,16664.0,11709.0,18259.0,0.46545000000000003,0.4074,0.2558,0
3703,TX,1,2,0.7805,1048.0,904.0,8792.0,23170.0,0.6283,0.5294,0.7348,4
3704,TX,2,3,0.6525,1048.0,196.0,8792.0,14546.0,0.46545000000000003,0.8205,0.559,2
3705,TX,2,1,0.7167,1048.0,3217.0,4048.0,18259.0,0.1549,0.0315,0.1766,3
3706,TX,2,1,0.7167,1048.0,10365.0,6881.0,18259.0,0.46545000000000003,0.086,0.2665,3
3707,TX,1,3,0.7167,1048.0,165.0,8792.0,28051.0,0.46545000000000003,0.8515,0.8472,2
3708,TX,2,3,0.7167,1048.0,10.0,8792.0,27341.0,0.46545000000000003,0.6296,0.7407,2
3709,TX,1,1,0.7167,1048.0,5833.0,6000.0,18259.0,0.46545000000000003,0.1598,0.4243,3
3710,TX,2,1,0.7167,1048.0,16076.0,4375.0,18259.0,0.46545000000000003,0.3037,0.3305,3
3711,TX,1,3,0.7167,1048.0,19.0,8792.0,14799.0,0.46545000000000003,0.6901,0.662,2
3712,TX,1,1,0.7167,1048.0,3496.0,7434.0,18259.0,0.46545000000000003,0.198,0.343,3
3713,TX,1,1,0.7167,1048.0,1214.0,8527.0,18259.0,0.46545000000000003,0.3472,0.4962,3
3714,TX,3,2,0.4685,1035.0,1493.0,8792.0,23257.0,0.3438,0.7106,0.3924,1
3715,TX,1,3,0.7167,1048.0,51.0,8792.0,5468.0,0.46545000000000003,0.0,0.4706,4
3716,TX,2,1,0.7167,1048.0,10141.0,5476.0,18259.0,0.46545000000000003,0.2177,0.2711,3
3717,TX,3,1,0.9258,960.0,9137.0,13404.0,18259.0,0.4021,0.5459,0.4177,0
3718,TX,1,3,0.7167,1048.0,215.0,8792.0,19862.0,0.46545000000000003,0.5373,0.3731,4
3719,TX,2,3,0.7167,1048.0,183.0,8792.0,22401.0,0.46545000000000003,0.3475,0.285,4
3720,TX,3,2,0.423,1078.0,3375.0,8792.0,21360.0,0.5518,0.6157,0.3034,1
3721,TX,3,2,0.5516,930.0,316.0,8792.0,18630.0,0.3023,0.7239,0.4693,1
3722,TX,2,2,0.7167,1048.0,114.0,8792.0,17795.0,0.46545000000000003,0.7949,0.8141,1
3724,TX,3,2,0.9011,1216.0,1374.0,8792.0,25158.0,0.6602,0.5066,0.2153,1
3725,TX,2,1,0.7167,1048.0,10502.0,5167.0,18259.0,0.46545000000000003,0.1645,0.3755,3
3726,TX,1,3,0.7167,1048.0,529.0,8792.0,22299.0,0.2239,1.0,0.7384,2
3727,TX,3,2,0.7362,957.0,1132.0,8792.0,17932.0,0.3333,0.722,0.4601,1
3728,TX,3,1,0.3723,993.0,1391.0,8258.0,18259.0,0.46545000000000003,0.3971,0.4616,0
3729,TX,3,1,0.6818,987.0,6951.0,10459.0,18259.0,0.4518,0.5986,0.4948,0
3730,TX,2,1,0.7167,1048.0,12113.0,7054.0,18259.0,0.46545000000000003,0.1073,0.3699,3
3731,TX,2,1,0.7167,1048.0,8854.0,6033.0,18259.0,0.46545000000000003,0.1366,0.3924,3
3732,TX,2,1,0.7167,1048.0,29390.0,3697.0,18259.0,0.46545000000000003,0.0613,0.4653,3
3733,TX,1,3,0.7167,1048.0,651.0,8792.0,20138.0,0.46545000000000003,0.6721,0.702,2
3734,TX,1,3,0.7167,1048.0,815.0,8792.0,20284.0,0.46545000000000003,0.7495,0.7904,2
3735,TX,1,3,0.7167,1048.0,58.0,8792.0,10699.0,0.46545000000000003,0.3619,0.581,4
3736,TX,3,3,0.4829,1048.0,1408.0,8792.0,26846.0,0.2656,0.8091,0.5889,2
3737,TX,1,3,0.7167,1048.0,60.0,8792.0,9762.0,0.46545000000000003,0.7944,0.8167,2
3738,TX,1,1,0.7167,1048.0,567.0,6172.0,18259.0,0.46545000000000003,0.2072,0.3333,3
3739,TX,2,1,0.7167,1048.0,1858.0,3268.0,18259.0,0.46545000000000003,0.1197,0.3883,3
3740,TX,2,1,0.7167,1048.0,3967.0,8851.0,18259.0,0.46545000000000003,0.325,0.4399,3
3741,TX,2,2,0.7167,1048.0,713.0,8792.0,16015.0,0.4826,0.5164,0.5625,1
